title,filename,relative_path,orientation,dimensions,category,game_types,environment,mood,style,dominant_color,dominant_hex,palette_colors,palette_hex,ui_status,description,keywords,original_filename
Night Owl Uprising,night-owl-uprising.png,Landscape 1920x1080/Adventure & Platformer/night-owl-uprising.png,Landscape,1920x1080,Adventure & Platformer,platformer; action adventure; creature battler; side-scroller,industrial city; dark owl monsters; wooden platforms; colorful skyline,chaotic; spooky; vibrant,hand-painted two-dimensional; cartoon; side-scroller,green,#334924,green; turquoise; teal; red,#334924; #589DB6; #77C5DD; #945C62; #6CADBE,HUD and UI cropped from frame,Dark flying creatures loom over a vivid industrial platforming stage. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; platformer; action adventure; creature battler; side-scroller; industrial city; dark owl monsters; wooden platforms; colorful skyline; chaotic; spooky; vibrant; hand-painted two-dimensional; cartoon; green; turquoise; teal; red,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_c6f1aa56-4159-4653-8878-c173027dd854_1.png
Emerald Deerway,emerald-deerway.png,Landscape 1920x1080/Nature & Scenic/emerald-deerway.png,Landscape,1920x1080,Nature & Scenic,exploration; adventure; cozy role-playing game; walking simulator,forest road; deer; green valley; woodland,peaceful; pastoral; inviting,painterly; stylized landscape; cozy game art,lime,#8BA756,lime; green; olive,#8BA756; #2E5D20; #1E4925; #5A8C56; #495E25,No baked-in UI detected; letterbox bars removed,A quiet forest road passes through a lush valley where deer graze beside the trees. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Nature & Scenic; exploration; adventure; cozy role-playing game; walking simulator; forest road; deer; green valley; woodland; peaceful; pastoral; inviting; painterly; stylized landscape; cozy game art; lime; green; olive,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_c6f1aa56-4159-4653-8878-c173027dd854_2.png
Little Shadow Sunrise,little-shadow-sunrise.png,Landscape 1920x1080/Adventure & Platformer/little-shadow-sunrise.png,Landscape,1920x1080,Adventure & Platformer,adventure platformer; narrative game; minimalist puzzle; exploration,pastel mountains; red sun; grassland; silhouettes,quiet; poetic; contemplative,minimalist two-dimensional; silhouette; graphic illustration,teal,#80B0BC,teal; olive; orange; silver,#80B0BC; #202514; #7BAFBF; #B79184; #A6AFB1,No baked-in UI detected,A tiny silhouetted traveler crosses grassland beneath a red sun and pastel mountains. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; adventure platformer; narrative game; minimalist puzzle; exploration; pastel mountains; red sun; grassland; silhouettes; quiet; poetic; contemplative; minimalist two-dimensional; silhouette; graphic illustration; teal; olive; orange; silver,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_c6f1aa56-4159-4653-8878-c173027dd854_3.png
Paintstorm Parade,paintstorm-parade.png,Landscape 1920x1080/Adventure & Platformer/paintstorm-parade.png,Landscape,1920x1080,Adventure & Platformer,action shooter; arena battler; first-person shooter; party game,abstract arena; paint splashes; water; futuristic structures,explosive; vibrant; surreal,stylized three-dimensional; graphic; high-energy action art,green,#688478,green; red; gold,#688478; #D05340; #E8BB3F; #404C43; #76B19A,No baked-in UI detected,A first-person paint battle erupts across a wildly colorful abstract arena. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; action shooter; arena battler; first-person shooter; party game; abstract arena; paint splashes; water; futuristic structures; explosive; vibrant; surreal; stylized three-dimensional; graphic; high-energy action art; green; red; gold,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_d2b489cb-e094-47dd-baa2-d51dc5346e87_0.png
Scarlet Blockdream,scarlet-blockdream.png,Landscape 1920x1080/Adventure & Platformer/scarlet-blockdream.png,Landscape,1920x1080,Adventure & Platformer,puzzle platformer; narrative adventure; exploration; art game,abstract block city; red monoliths; lone figure; open sky,dreamlike; lonely; bold,minimalist three-dimensional; graphic; surreal environment,teal,#5C9BAD,teal; orange; rose; silver,#5C9BAD; #8C5F41; #D85454; #8B9398; #8DAFB4,No baked-in UI detected,A lone figure stands among monumental red blocks in a dreamlike cityscape. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; puzzle platformer; narrative adventure; exploration; art game; abstract block city; red monoliths; lone figure; open sky; dreamlike; lonely; bold; minimalist three-dimensional; graphic; surreal environment; teal; orange; rose; silver,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_d2b489cb-e094-47dd-baa2-d51dc5346e87_1.png
Edge of Ember,edge-of-ember.png,Landscape 1920x1080/Adventure & Platformer/edge-of-ember.png,Landscape,1920x1080,Adventure & Platformer,precision platformer; puzzle; silhouette adventure; indie platformer,cliff edge; red sunset; dark platforms; mountains,tense; minimal; cinematic,silhouette two-dimensional; minimalist; graphic,rose,#F25449,rose; yellow; orange,#F25449; #2E2E11; #F95F4D; #F7594D; #B55935,No baked-in UI detected,A tiny silhouette pauses at a cliff edge beneath an intense coral sunset. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; precision platformer; puzzle; silhouette adventure; indie platformer; cliff edge; red sunset; dark platforms; mountains; tense; minimal; cinematic; silhouette two-dimensional; minimalist; graphic; rose; yellow; orange,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_d2b489cb-e094-47dd-baa2-d51dc5346e87_2.png
Graffiti Gravity,graffiti-gravity.png,Landscape 1920x1080/Adventure & Platformer/graffiti-gravity.png,Landscape,1920x1080,Adventure & Platformer,skateboarding; parkour; action sports; open-world adventure,urban alley; graffiti; skate park; city ruins,rebellious; energetic; streetwise,stylized three-dimensional; comic-inspired; urban game art,red,#C93F43,red; gray; teal; orange; gold,#C93F43; #5A615E; #5C7374; #5D4237; #A68D5E,No baked-in UI detected,A skater surveys a graffiti-covered urban course built for speed and vertical movement. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; skateboarding; parkour; action sports; open-world adventure; urban alley; graffiti; skate park; city ruins; rebellious; energetic; streetwise; stylized three-dimensional; comic-inspired; urban game art; red; gray; teal; orange; gold,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_d2b489cb-e094-47dd-baa2-d51dc5346e87_3.png
Peachblock Passage,peachblock-passage.png,Landscape 1920x1080/Adventure & Platformer/peachblock-passage.png,Landscape,1920x1080,Adventure & Platformer,puzzle platformer; casual; minimalist adventure; indie game,pink block world; blue character; platforms; sunset,warm; quirky; minimal,stylized two-dimensional; pixel-inspired; graphic,red,#841C1C,red; rose; orange,#841C1C; #DD6350; #DB7854; #DD3E4B; #DB8D5C,No baked-in UI detected,A tiny blue character navigates a warm pink world of simple block platforms. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; puzzle platformer; casual; minimalist adventure; indie game; pink block world; blue character; platforms; sunset; warm; quirky; minimal; stylized two-dimensional; pixel-inspired; graphic; red; rose; orange,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_d2d893a9-fffe-40b6-bd33-be3003309bdc_0.png
Sunset Signal,sunset-signal.png,Landscape 1920x1080/Adventure & Platformer/sunset-signal.png,Landscape,1920x1080,Adventure & Platformer,narrative adventure; exploration; cozy game; walking simulator,sunset pier; harbor; industrial shoreline; lone character,reflective; warm; cinematic,stylized three-dimensional; painterly; narrative game art,brown,#533112,brown; olive; orange,#533112; #2E3316; #DF6437; #ED7437; #8F471F,No baked-in UI detected,A lone character watches the sun sink beyond a quiet industrial harbor. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; narrative adventure; exploration; cozy game; walking simulator; sunset pier; harbor; industrial shoreline; lone character; reflective; warm; cinematic; stylized three-dimensional; painterly; narrative game art; brown; olive; orange,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_d2d893a9-fffe-40b6-bd33-be3003309bdc_1.png
Grumble Giants,grumble-giants.png,Landscape 1920x1080/Adventure & Platformer/grumble-giants.png,Landscape,1920x1080,Adventure & Platformer,puzzle platformer; casual arcade; kids game; indie platformer,red block ruins; giant stone faces; mountains; side-scrolling level,whimsical; curious; warm,pixel-inspired two-dimensional; cartoon; side-scroller,rose,#DE7063,rose; red; peach; gold,#DE7063; #781F0C; #D14A44; #E3946F; #E7B47F,HUD and UI cropped from frame,A tiny white hero explores red ruins watched over by enormous block-faced giants. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; puzzle platformer; casual arcade; kids game; indie platformer; red block ruins; giant stone faces; mountains; side-scrolling level; whimsical; curious; warm; pixel-inspired two-dimensional; cartoon; side-scroller; rose; red; peach; gold,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_d2d893a9-fffe-40b6-bd33-be3003309bdc_3.png
Neon Snowbound,neon-snowbound.png,Landscape 1920x1080/Adventure & Platformer/neon-snowbound.png,Landscape,1920x1080,Adventure & Platformer,action adventure; role-playing game; exploration; cyberpunk,snowy neon village; night street; colorful buildings; lone character,nocturnal; electric; mysterious,stylized three-dimensional; painterly; neon environment art,teal,#0F262D,teal; magenta; turquoise; blue,#0F262D; #4B2641; #2F5A82; #586AC0; #384467,No baked-in UI detected,A traveler moves through a snow-covered village lit by electric neon colors. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; action adventure; role-playing game; exploration; cyberpunk; snowy neon village; night street; colorful buildings; lone character; nocturnal; electric; mysterious; stylized three-dimensional; painterly; neon environment art; teal; magenta; turquoise; blue,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_e621cd78-7158-4a41-bcf4-6d2621bcab01_0.png
Magenta Moonrise,magenta-moonrise.png,Landscape 1920x1080/Adventure & Platformer/magenta-moonrise.png,Landscape,1920x1080,Adventure & Platformer,cyberpunk role-playing game; narrative adventure; exploration; visual novel,neon city; giant pink moon; pagoda rooftops; night,moody; cinematic; futuristic,stylized three-dimensional; painterly; neon cityscape,red,#812A37,red; magenta; crimson,#812A37; #261B21; #A62539; #561E28; #E42759,No baked-in UI detected,A vast magenta moon rises behind a layered neon city with pagoda silhouettes. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; cyberpunk role-playing game; narrative adventure; exploration; visual novel; neon city; giant pink moon; pagoda rooftops; night; moody; cinematic; futuristic; stylized three-dimensional; painterly; neon cityscape; red; magenta; crimson,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_e621cd78-7158-4a41-bcf4-6d2621bcab01_1.png
Last Watchtower,last-watchtower.png,Landscape 1920x1080/Adventure & Platformer/last-watchtower.png,Landscape,1920x1080,Adventure & Platformer,survival; exploration; narrative adventure; strategy,abandoned tower; rural industrial site; pink sky; wasteland,lonely; atmospheric; windswept,stylized three-dimensional; painterly; environment concept art,orange,#53413C,orange; periwinkle; rose; turquoise,#53413C; #9C8CA9; #F28C9D; #B77674; #647688,No baked-in UI detected,An abandoned watchtower dominates a quiet industrial landscape at pink sunset. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; survival; exploration; narrative adventure; strategy; abandoned tower; rural industrial site; pink sky; wasteland; lonely; atmospheric; windswept; stylized three-dimensional; painterly; environment concept art; orange; periwinkle; rose; turquoise,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_16_e621cd78-7158-4a41-bcf4-6d2621bcab01_3.png
Brickwater Bounce,brickwater-bounce.png,Portrait 1080x1920/Adventure & Platformer/brickwater-bounce.png,Portrait,1080x1920,Adventure & Platformer,vertical platformer; mobile arcade; puzzle; kids game,pixel water shaft; brick platforms; cute blocks; vertical level,playful; retro; bright,pixel art; two-dimensional; mobile game art,red,#C73920,red; teal; orange; olive; green,#C73920; #3FA6A4; #72270F; #6C8157; #6DB085,No baked-in UI detected,Cute pixel blocks bounce through a narrow vertical course of water and brick platforms. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Adventure & Platformer; vertical platformer; mobile arcade; puzzle; kids game; pixel water shaft; brick platforms; cute blocks; vertical level; playful; retro; bright; pixel art; two-dimensional; mobile game art; red; teal; orange; olive; green,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_91_b0547fb5-d589-42e3-867d-833aead415f3_0.png
Taxi Tangle,taxi-tangle.png,Portrait 1080x1920/City & Traffic/taxi-tangle.png,Portrait,1080x1920,City & Traffic,traffic puzzle; city simulation; taxi game; management,isometric city; roads; cars; downtown,busy; playful; colorful,low-poly isometric; stylized three-dimensional; mobile game art,red,#7E3C41,red; turquoise; gray; orange; teal,#7E3C41; #2F3D43; #686160; #988782; #8BB7BE,No baked-in UI detected,A lively isometric city packs taxis and traffic into a colorful downtown grid. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; City & Traffic; traffic puzzle; city simulation; taxi game; management; isometric city; roads; cars; downtown; busy; playful; colorful; low-poly isometric; stylized three-dimensional; mobile game art; red; turquoise; gray; orange; teal,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_91_b0547fb5-d589-42e3-867d-833aead415f3_1.png
Candy City Rush,candy-city-rush.png,Portrait 1080x1920/City & Traffic/candy-city-rush.png,Portrait,1080x1920,City & Traffic,endless driver; traffic racer; city simulation; casual arcade,bright city canyon; cars; downtown street; vertical road,energetic; sunny; fast,low-poly isometric; stylized three-dimensional; mobile game art,rose,#EA5071,rose; orange; turquoise; red; silver,#EA5071; #604C44; #52A5C6; #AD7C74; #AFAEB7,No baked-in UI detected,Cars stream through a bright candy-colored city canyon in a vertical driving scene. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; City & Traffic; endless driver; traffic racer; city simulation; casual arcade; bright city canyon; cars; downtown street; vertical road; energetic; sunny; fast; low-poly isometric; stylized three-dimensional; mobile game art; rose; orange; turquoise; red; silver,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_91_b0547fb5-d589-42e3-867d-833aead415f3_2.png
Crosswalk Commotion,crosswalk-commotion.png,Portrait 1080x1920/City & Traffic/crosswalk-commotion.png,Portrait,1080x1920,City & Traffic,traffic management; puzzle; simulation; mobile game,isometric roads; vehicles; pedestrians; city blocks,busy; strategic; playful,low-poly isometric; stylized three-dimensional; mobile game art,orange,#836D5A,orange; gold,#836D5A; #DEBE98; #564A46; #B55A40; #8D7260,No baked-in UI detected,Vehicles and pedestrians crowd an isometric road network built for a traffic puzzle. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; City & Traffic; traffic management; puzzle; simulation; mobile game; isometric roads; vehicles; pedestrians; city blocks; busy; strategic; playful; low-poly isometric; stylized three-dimensional; mobile game art; orange; gold,silverlakeslayer_casual_video_game_screenshot_--no_ui_--ar_91_b0547fb5-d589-42e3-867d-833aead415f3_3.png
Pizza Palace,pizza-palace.png,Landscape 1920x1080/Cooking & Food/pizza-palace.png,Landscape,1920x1080,Cooking & Food,cooking game; restaurant simulation; time management; tycoon,pizzeria kitchen; pizza; ingredients; restaurant interior,inviting; cheerful; abundant,stylized three-dimensional; cartoon; casual game art,red,#4B3130,red; orange; gold,#4B3130; #A83223; #BD7C50; #915A41; #DCAF70,No baked-in UI detected,"A colorful pizzeria kitchen overflows with pizza, fresh ingredients, and playful details. Optimized as a 1920 by 1080 landscape game background.",game background; environment art; ui-free; background only; landscape; full hd; Cooking & Food; cooking game; restaurant simulation; time management; tycoon; pizzeria kitchen; pizza; ingredients; restaurant interior; inviting; cheerful; abundant; stylized three-dimensional; cartoon; casual game art; red; orange; gold,silverlakeslayer_fun_cooking_theme_casual_video_game_screensh_aec3e284-a2fd-461b-b192-424e301d3835_0.png
Plushie Patisserie,plushie-patisserie.png,Landscape 1920x1080/Cooking & Food/plushie-patisserie.png,Landscape,1920x1080,Cooking & Food,cooking game; bakery simulation; time management; kids game,whimsical bakery; plush animals; pastries; restaurant interior,cute; cozy; playful,stylized three-dimensional; cartoon; casual game art,orange,#A6684D,orange; red; gold,#A6684D; #7A4631; #B64C39; #BF825F; #D0BA8C,No baked-in UI detected; letterbox bars removed,A whimsical bakery is staffed by plush animal mascots and surrounded by pastries. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Cooking & Food; cooking game; bakery simulation; time management; kids game; whimsical bakery; plush animals; pastries; restaurant interior; cute; cozy; playful; stylized three-dimensional; cartoon; casual game art; orange; red; gold,silverlakeslayer_fun_cooking_theme_casual_video_game_screensh_aec3e284-a2fd-461b-b192-424e301d3835_2.png
Monster Microwave,monster-microwave.png,Landscape 1920x1080/Cooking & Food/monster-microwave.png,Landscape,1920x1080,Cooking & Food,cooking game; arcade; restaurant simulation; boss battle,monster kitchen; ovens; neon appliances; fantasy restaurant,mischievous; intense; quirky,cartoon two-dimensional; graphic; monster game art,red,#B61A28,red; crimson; blue; turquoise,#B61A28; #590F20; #55536B; #517795; #843943,No baked-in UI detected,"A strange monster kitchen glows with oversized ovens, appliances, and fiery energy. Optimized as a 1920 by 1080 landscape game background.",game background; environment art; ui-free; background only; landscape; full hd; Cooking & Food; cooking game; arcade; restaurant simulation; boss battle; monster kitchen; ovens; neon appliances; fantasy restaurant; mischievous; intense; quirky; cartoon two-dimensional; graphic; monster game art; red; crimson; blue; turquoise,silverlakeslayer_fun_cooking_theme_casual_video_game_screensh_aec3e284-a2fd-461b-b192-424e301d3835_3.png
Sizzle Circle,sizzle-circle.png,Landscape 1920x1080/Cooking & Food/sizzle-circle.png,Landscape,1920x1080,Cooking & Food,cooking game; cooperative game; restaurant simulation; party game,commercial kitchen; chefs; pizza; restaurant,energetic; communal; warm,stylized illustration; cartoon; character scene,red,#BF341B,red; orange; gold,#BF341B; #56250E; #D45F3D; #E06F47; #E9A258,No baked-in UI detected,"A diverse team of chefs works together around a bustling, warmly lit kitchen. Optimized as a 1920 by 1080 landscape game background.",game background; environment art; ui-free; background only; landscape; full hd; Cooking & Food; cooking game; cooperative game; restaurant simulation; party game; commercial kitchen; chefs; pizza; restaurant; energetic; communal; warm; stylized illustration; cartoon; character scene; red; orange; gold,silverlakeslayer_fun_cooking_theme_casual_video_game_screensh_fbf22afd-51d2-48d1-b557-63e37db1f7c8_0.png
